,content,vector,cluster,tokens_final,text_for_tfidf,action_cluster
406,오프라인 매장에서 직접 보고 구매해요,"[ 0.01095581  0.03585815 -0.01247406 ... -0.02017212 -0.03826904
 -0.00659561]",2,"['오프라인', '매장', '구매']",오프라인 매장 구매,2
407,오프라인에서 직접 눈으로 보고 견적내가면서 발품팔아 했어요,"[-0.00230217  0.03488159 -0.01056671 ... -0.0244751  -0.0383606
 -0.00814056]",2,"['오프라인', '견적', '내다', '발품', '팔다']",오프라인 견적 내다 발품 팔다,0
408,저는 오프라인 온라인 둘다 비교했는데 온라인이 훨씬 저렴해서 온라인에서 했습니당,"[-0.00311661  0.02099609 -0.03192139 ... -0.02868652 -0.02037048
 -0.00704193]",2,"['오프라인', '온라인', '비교', '온라인', '온라인']",오프라인 온라인 비교 온라인 온라인,0
409,오프라인에서 다품목 구매 할인 받았어용,"[ 0.01727295  0.016922   -0.03305054 ... -0.01224518 -0.04101562
 -0.01585388]",2,"['오프라인', '품목', '구매', '할인']",오프라인 품목 구매 할인,0
410,오프라인매장에서 다같이 묶으니까 할인많이되더라구용,"[ 0.01491547  0.03591919 -0.04150391 ...  0.00116539 -0.02882385
  0.01054382]",2,"['오프라인', '매장', '묶다', '할인']",오프라인 매장 묶다 할인,2
411,4-5개면 온라인이 더 싸요 ㅋㅋ 오프라인에서 좀 보고 제품명 검색해서 시키는게 싸요,"[-0.00043678  0.02723694 -0.02572632 ... -0.03933716 -0.00364685
  0.02478027]",2,"['온라인', '싸다', '오프라인', '제품명', '검색', '시키다', '싸다']",온라인 싸다 오프라인 제품명 검색 시키다 싸다,1
412,오프라인 신규매장 많이 가시는거 같아요:),"[ 0.01313019  0.01152802 -0.01528931 ... -0.02944946 -0.02307129
 -0.00206184]",2,"['오프라인', '신규', '매장']",오프라인 신규 매장,2
413,오프라인으로 했습니다. 직접 보는 거랑 사진으로만 보는 거랑 느낌이 확 다르더라구요,"[-0.00160599  0.03186035 -0.00583267 ... -0.02485657 -0.01574707
 -0.01159668]",2,"['오프라인', '사진', '느낌', '다르다']",오프라인 사진 느낌 다르다,0
414,우산 오프라인 매장 가서 견적받아보고 온라인이랑 비교해볼 예정입니다,"[ 0.00381279  0.03610229 -0.0094986  ... -0.01489258 -0.03065491
  0.00994873]",2,"['우산', '오프라인', '매장', '견적', '온라인', '비교', '예정']",우산 오프라인 매장 견적 온라인 비교 예정,0
415,오프라인에서 견적받고 비교해보시는거 추천드려요!,"[-0.01273346  0.03240967 -0.01773071 ... -0.04476929 -0.02934265
  0.00350761]",2,"['오프라인', '견적', '비교', '추천', '드리다']",오프라인 견적 비교 추천 드리다,0
416,저희는 온라인으로 구매했는데 잘 쓰고 있습니당,"[ 0.02142334  0.03915405 -0.04437256 ... -0.02722168 -0.03713989
 -0.00982666]",2,"['온라인', '구매', '쓰다']",온라인 구매 쓰다,1
417,온라인에서 최저가로 견적 내서 오프라인 간 다음에 온라인에서 사면 이정도더라- 더 싸게 되냐 하면 할인 더 많이해준다고 하더라구요ㅎㅎ,"[-0.01009369  0.02828979 -0.02552795 ... -0.03308105 -0.02278137
 -0.00962067]",2,"['온라인', '최저', '견적', '내다', '오프라인', '다음', '온라인', '사다', '싸다', '할인']",온라인 최저 견적 내다 오프라인 다음 온라인 사다 싸다 할인,0
418,오프라인 여러곳에서 견적받고 사려고요~!,"[-0.0037117   0.03915405 -0.02604675 ... -0.03123474 -0.03262329
 -0.01034546]",2,"['오프라인', '견적', '사다']",오프라인 견적 사다,0
419,저도 종류가 많지 않아서 온라인이요!,"[-0.01022339  0.01649475 -0.00984955 ... -0.02279663 -0.02488708
 -0.00775528]",2,"['종류', '많다', '온라인']",종류 많다 온라인,0
420,오프라인으로 가서 보고 한번에 사구 할인도 받을래요~,"[-0.00667572  0.03092957 -0.01826477 ... -0.02565002 -0.0308075
 -0.01100159]",2,"['오프라인', '사다', '할인']",오프라인 사다 할인,2
421,저는 온라인으로 했는데 오프라인으로 하면 할인 더 받을 수 있을 것 같아요,"[-0.00079775  0.01802063 -0.03198242 ... -0.02807617 -0.02764893
 -0.00898743]",2,"['온라인', '오프라인', '할인']",온라인 오프라인 할인,1
422,"저는 오프라인에서 견적받고, 이것저것 할인받아서 한번에 구매하려구요 온라인은 따로 알아보기도 힘들거같아요ㅠ","[-0.01238251  0.03271484 -0.02207947 ... -0.03994751 -0.03031921
  0.00053835]",2,"['오프라인', '견적', '이것저것', '할인', '구매', '온라인', '알아보다', '힘들다']",오프라인 견적 이것저것 할인 구매 온라인 알아보다 힘들다,0
423,저는 더 온라인으로 구매했어요 오프라인대비 가격차이많이나요,"[ 0.00248528  0.01687622 -0.03598022 ... -0.02804565 -0.03826904
 -0.01605225]",2,"['온라인', '구매', '오프라인', '대비', '가격', '차이']",온라인 구매 오프라인 대비 가격 차이,0
424,오프라인으로 많이 할인받고 캐시백 받아 샀어요,"[ 0.02597046  0.03088379 -0.03005981 ... -0.01363373 -0.03451538
 -0.01116943]",2,"['오프라인', '할인', '캐시백', '사다']",오프라인 할인 캐시백 사다,1
425,오프라인은 영업을 많이해서 온라인이요!,"[ 0.0042038   0.01657104 -0.01985168 ... -0.03713989 -0.02606201
 -0.0065918 ]",2,"['오프라인', '영업', '온라인']",오프라인 영업 온라인,1
426,저는 그냥 온라인으로 샀는데 살거 많지않으면 온라인도 괜찮을거같아요!,"[-0.0047226   0.00798798 -0.03024292 ... -0.02906799 -0.03488159
 -0.00534439]",2,"['온라인', '사다', '사다', '많다', '온라인', '괜찮다']",온라인 사다 사다 많다 온라인 괜찮다,1
427,가격 비교해보고 구매할 것 같아요 근데 오프라인은 할인이나 캐시백 이점이 있어서 잘 따져봐야 할 것 같아용ㅎㅎ,"[ 0.01194763  0.0120697  -0.02868652 ... -0.03546143 -0.02656555
  0.00376511]",2,"['가격', '비교', '구매', '오프라인', '할인', '캐시백', '점', '따지다']",가격 비교 구매 오프라인 할인 캐시백 점 따지다,0
428,"오프라인이 혜택이 더 있어서 오프라인에서 구매했는데,,, 정말 큰거 아니고 작은것들은 온라인으로도 구매했어요!","[-0.00275993  0.01896667 -0.0447998  ... -0.00841522 -0.0402832
 -0.03038025]",2,"['오프라인', '혜택', '오프라인', '구매', '크다', '작다', '온라인', '구매']",오프라인 혜택 오프라인 구매 크다 작다 온라인 구매,0
429,온라인 오프라인 둘 다 활용할거에요~!,"[ 0.00571823  0.01300049 -0.01907349 ... -0.01634216 -0.01794434
 -0.0089798 ]",2,"['온라인', '오프라인', '활용']",온라인 오프라인 활용,0
430,오프라인에서 추천해주시는 걸로 잘 구매했어요!,"[ 0.00405121  0.02328491 -0.0375061  ... -0.01343536 -0.03056335
 -0.02500916]",2,"['오프라인', '추천', '구매']",오프라인 추천 구매,0
431,온라인에서 가격 체크해놓고 오프라인가서 가격 비교해보고 결정하셔요 ~!,"[ 0.00419617  0.02233887 -0.03448486 ... -0.02954102 -0.02722168
 -0.00340652]",2,"['온라인', '가격', '체크', '오프라인', '가격', '비교', '결정']",온라인 가격 체크 오프라인 가격 비교 결정,0
432,오프라인발품팔아서 사면 혜택좋은곳 발견할수있어요,"[ 0.01390839  0.02853394 -0.04153442 ... -0.02742004 -0.03668213
 -0.01622009]",2,"['오프라인', '발품', '팔다', '사다', '혜택', '좋다', '발견']",오프라인 발품 팔다 사다 혜택 좋다 발견,0
433,저도 오프라인으로 알아보려구요! 발품 손품 다 팔아볼예정입니당,"[-0.01444244  0.0402832  -0.02334595 ... -0.02352905 -0.04031372
 -0.00758362]",2,"['오프라인', '알아보다', '팔다', '예정']",오프라인 알아보다 팔다 예정,0
434,마트입점오프라인으로 구매햇어요 할인 많이 받고 최신형은 아니지만 오히려 행사시기도 잘 맞춰서 좋았습니다,"[ 0.02436829  0.01341248 -0.04891968 ... -0.0219574  -0.04238892
 -0.0218811 ]",2,"['마트', '입점', '오프라인', '구매', '할인', '최신', '행사', '시기', '맞추다', '좋다']",마트 입점 오프라인 구매 할인 최신 행사 시기 맞추다 좋다,2
435,저는 오프라인으로 구매했어요! 만족합니다,"[ 0.00752258  0.01959229 -0.03961182 ... -0.02362061 -0.05014038
 -0.02023315]",2,"['오프라인', '구매', '만족']",오프라인 구매 만족,1
436,오프라인으로 여러 곳 가격 비교해보고 사려고용,"[ 0.01307678  0.02850342 -0.03326416 ... -0.02720642 -0.02282715
 -0.01795959]",2,"['오프라인', '가격', '비교', '사다']",오프라인 가격 비교 사다,0
437,오프라인으로 구매하는게 할인을 좀 더 많이 받을 수 있었던거 같아요.,"[ 0.01353455  0.03311157 -0.03555298 ... -0.02841187 -0.04348755
 -0.01701355]",2,"['오프라인', '구매', '할인']",오프라인 구매 할인,2
438,오프라인에서 해도 할인 많이 된다고 하더라고요,"[ 0.01128387  0.03518677 -0.03384399 ... -0.02275085 -0.02827454
 -0.00344658]",2,"['오프라인', '할인']",오프라인 할인,2
439,오프라인 매장에서 여러 곳 가격 비교하고 구매하니 할인을 많이 받았어요,"[ 0.02197266  0.03016663 -0.04046631 ... -0.0087204  -0.04360962
 -0.01302338]",2,"['오프라인', '매장', '가격', '비교', '구매', '할인']",오프라인 매장 가격 비교 구매 할인,0
440,많이사면 오프라인에서 사는게 훨 저렴해요,"[ 0.00060797  0.03253174 -0.02987671 ... -0.01950073 -0.02636719
  0.0083313 ]",2,"['사다', '오프라인', '사다', '저렴하다']",사다 오프라인 사다 저렴하다,1
441,저는 할인기간에 온라인으로 주문했습니다!,"[-0.00336075  0.02746582 -0.0188446  ... -0.01571655 -0.04660034
 -0.0164032 ]",2,"['할인', '기간', '온라인', '주문']",할인 기간 온라인 주문,1
442,견적비교해보고 선택할것같아요. 근데 지인분들 말씀들어보니 오프라인 더 추천하시더라구요,"[-0.00379753  0.02436829 -0.02757263 ... -0.04776001 -0.01846313
  0.00587845]",2,"['견적', '비교', '선택', '지인', '말씀', '오프라인', '추천']",견적 비교 선택 지인 말씀 오프라인 추천,0
443,저는 몇 품목 안 사서 온라인이요!,"[-0.00202942  0.01737976 -0.0305481  ... -0.02828979 -0.03872681
 -0.02107239]",2,"['품목', '사다', '온라인']",품목 사다 온라인,1
444,저희는 섞어서 구매했어용 큰 건 거의 오프라인!,"[ 0.02099609  0.04000854 -0.02337646 ... -0.00605392 -0.0480957
 -0.00616074]",2,"['섞다', '구매', '크다', '오프라인']",섞다 구매 크다 오프라인,1
445,가전 모두 오프라인으로 상담 후 온라인 핫딜로 최저가 구매 완료했답니당,"[ 0.01963806  0.02796936 -0.01163483 ... -0.01799011 -0.03823853
 -0.01107788]",2,"['가전', '오프라인', '상담', '온라인', '저가', '구매', '완료']",가전 오프라인 상담 온라인 저가 구매 완료,1
446,오프라인으로 가서 직접 보고 비교해보고 사는게 좋긴해요,"[ 0.01352692  0.0269928  -0.0164032  ... -0.03796387 -0.03134155
 -0.01204681]",2,"['오프라인', '비교', '사다', '좋다']",오프라인 비교 사다 좋다,0
447,오프라인이 좋긴하조 가격차이많이나면 온라인이요..,"[ 0.01779175  0.00883484 -0.03134155 ... -0.03900146 -0.03034973
 -0.0051651 ]",2,"['오프라인', '좋다', '가격', '차이', '온라인']",오프라인 좋다 가격 차이 온라인,0
448,여러개 구입하려면 오프라인에서 견적할인이요,"[ 0.01557159  0.0294342  -0.02983093 ... -0.02233887 -0.03778076
  0.00335503]",2,"['구입', '오프라인', '견적', '할인']",구입 오프라인 견적 할인,0
449,오프라인에서 견적받고 같은제품 온라인 공식매장에서 구매추천이요,"[ 0.00702286  0.02932739 -0.03405762 ... -0.025177   -0.02462769
 -0.01797485]",2,"['오프라인', '견적', '제품', '온라인', '공식', '매장', '구매', '추천']",오프라인 견적 제품 온라인 공식 매장 구매 추천,0
450,저는 온라인파라서 오프라인에서 보구 주문은 온라인으로 할거같아요~,"[-0.00619888  0.03292847 -0.01447296 ... -0.02259827 -0.04321289
 -0.01428986]",2,"['온라인', '오프라인', '주문', '온라인']",온라인 오프라인 주문 온라인,1
451,전 오프라인으로 견적받고 온라인 공식홈페이지 구매했어요!,"[ 0.00013399  0.03237915 -0.01991272 ... -0.025177   -0.05728149
 -0.00723648]",2,"['오프라인', '견적', '온라인', '공식', '홈페이지', '구매']",오프라인 견적 온라인 공식 홈페이지 구매,1
452,저는 온라인이요! 혜택 많이 받고용,"[ 0.00163555  0.02371216 -0.02590942 ... -0.02742004 -0.03707886
 -0.00382614]",2,"['온라인', '혜택']",온라인 혜택,0
453,저희는 온라인 오프라인 비교 후 오프라인으로 샀어요,"[ 0.01392365  0.02590942 -0.02340698 ... -0.02412415 -0.04043579
 -0.03244019]",2,"['온라인', '오프라인', '비교', '오프라인', '사다']",온라인 오프라인 비교 오프라인 사다,0
454,오프라인 온라이 비교해보고 오프라인에서 구매했어요,"[ 0.01216125  0.02949524 -0.02726746 ... -0.01571655 -0.02084351
 -0.02386475]",2,"['오프라인', '비교', '오프라인', '구매']",오프라인 비교 오프라인 구매,0
455,품목이 많고 한 브랜드에서 사면 오프라인 추천드려여!,"[ 0.01019287  0.0259552  -0.04238892 ... -0.01860046 -0.02990723
 -0.00778961]",2,"['품목', '많다', '브랜드', '사다', '오프라인', '추천', '드리다']",품목 많다 브랜드 사다 오프라인 추천 드리다,0
456,"오프라인, 온라인 둘 다 견적 받아보고 저렴한 곳에서 구매할 거 같아요!","[-0.00495911  0.03109741 -0.02262878 ... -0.0355835  -0.03845215
 -0.01068115]",2,"['오프라인', '온라인', '견적', '저렴하다', '구매']",오프라인 온라인 견적 저렴하다 구매,1
457,구매할게 확실하면 온라인도 괜찮을 것 같아요☺️,"[ 0.01669312  0.02796936 -0.02801514 ... -0.04205322 -0.03762817
 -0.01295471]",2,"['구매', '온라인', '괜찮다']",구매 온라인 괜찮다,1
458,오프라인으로 한꺼번에 사야 싸더라구요,"[ 0.00402451  0.04199219 -0.02377319 ... -0.01293945 -0.02886963
  0.00061417]",2,"['오프라인', '사다', '싸다']",오프라인 사다 싸다,1
459,저는 온라인 가격을 검색한뒤 방문해서 쇼부를 봤어요,"[ 0.01292419  0.01551819 -0.02729797 ... -0.03823853 -0.04025269
 -0.01855469]",2,"['온라인', '가격', '검색', '방문', '쇼부']",온라인 가격 검색 방문 쇼부,0
460,전 다시 되돌아간다면 오프라인 상담 받고 온라인 공홈에서 구매할래여 대신 ! 상품명 꼭 잘 확인하세요,"[-0.00918579  0.01128387 -0.03077698 ... -0.0375061  -0.02281189
 -0.00354576]",2,"['되돌아가다', '오프라인', '상담', '온라인', '구매', '대신', '상품명', '확인']",되돌아가다 오프라인 상담 온라인 구매 대신 상품명 확인,1
461,다양하게 비교해보셔요 저희는 온라인 오프라인 다 견적 받아보고 온라인에서 구매했어요,"[ 0.00949097  0.02984619 -0.02938843 ... -0.03659058 -0.03555298
 -0.00508499]",2,"['다양', '비교', '온라인', '오프라인', '견적', '온라인', '구매']",다양 비교 온라인 오프라인 견적 온라인 구매,0
462,오프라인 세군데 견적비교하고 다품목 할인받아 샀어요,"[ 0.01521301  0.02293396 -0.03726196 ... -0.01290131 -0.03598022
 -0.01947021]",2,"['오프라인', '견적', '비교', '품목', '할인', '사다']",오프라인 견적 비교 품목 할인 사다,0
463,오프라인으로 돌아다니면서 여러 업체 견적 확인하고 구매했어요~,"[ 0.0025959   0.03503418 -0.02032471 ... -0.02615356 -0.03857422
 -0.01039124]",2,"['오프라인', '돌아다니다', '업체', '견적', '확인', '구매']",오프라인 돌아다니다 업체 견적 확인 구매,1
464,검증된 템들 뭐 로보락이나 음쓰기는 온라인 구매했고 나머진 오프라인이요!,"[ 0.00712204  0.025177   -0.03613281 ... -0.03182983 -0.02891541
 -0.01812744]",2,"['검증', '로보', '쓰다', '온라인', '구매', '나머지', '오프라인']",검증 로보 쓰다 온라인 구매 나머지 오프라인,1
465,온라인이 더 저렴하고 여러가지 살거면 오프라인으로 할인 잘 받으면 된다고 하더라규요,"[ 0.0047226   0.04156494 -0.03735352 ... -0.01873779 -0.02687073
 -0.01597595]",2,"['온라인', '저렴하다', '살다', '오프라인', '할인']",온라인 저렴하다 살다 오프라인 할인,1
466,저는 견적을 여러곳을 방문했어서 오프라인으로 구매했어요!,"[-0.00436401  0.02928162 -0.03167725 ... -0.02281189 -0.05255127
 -0.01382446]",2,"['견적', '방문', '오프라인', '구매']",견적 방문 오프라인 구매,0
467,소량으로 사서 온라인으로 샀는데 괜찮게 잘 쓰고 있어요,"[ 0.00961304  0.03536987 -0.04144287 ... -0.02432251 -0.02581787
 -0.00463104]",2,"['소량', '사다', '온라인', '사다', '괜찮다', '쓰다']",소량 사다 온라인 사다 괜찮다 쓰다,1
468,전부다 새걸로 맞추시는거면 오프라인 추천드려요,"[ 0.01241302  0.0134201  -0.03610229 ... -0.02145386 -0.00811005
  0.00317764]",2,"['맞추다', '오프라인', '추천', '드리다']",맞추다 오프라인 추천 드리다,0
469,저라면 눈여겨본거 오프라인으로 직접 구경하고 가격 괜찮은지는 온라인에서 비교해보고 구매할려구요 !,"[-0.00026202  0.02708435 -0.02070618 ... -0.03323364 -0.02726746
 -0.01565552]",2,"['눈여기다', '오프라인', '구경', '가격', '괜찮다', '온라인', '비교', '구매']",눈여기다 오프라인 구경 가격 괜찮다 온라인 비교 구매,1
470,저는 온라인이 더 저렴해서 공홈에서 샀습니다!,"[-0.00719452  0.02546692 -0.02816772 ... -0.02137756 -0.04220581
 -0.01557922]",2,"['온라인', '저렴하다', '사다']",온라인 저렴하다 사다,1
471,저도 오프라인에서 사긴 했지만 막상 사놓고 보니 온라인에서 저렴하게 샀어도 됐겠다 싶었어요 ㅋㅋ,"[-0.00930786  0.03482056 -0.02958679 ... -0.02038574 -0.03662109
 -0.00606537]",2,"['오프라인', '사다', '사다', '온라인', '저렴하다', '사다']",오프라인 사다 사다 온라인 저렴하다 사다,1
472,한두개만 사셔도 되는거면 온라인 괜찮은데 품목 많으면 오프라인이 더 나아요!,"[ 0.00203133  0.01307678 -0.03988647 ... -0.02813721 -0.02635193
 -0.00309563]",2,"['사다', '온라인', '괜찮다', '품목', '많다', '오프라인']",사다 온라인 괜찮다 품목 많다 오프라인,1
473,저도 여러 곳 견적 비교하고 최종적으로 온라인에서 구매했어요,"[ 0.00216103  0.02903748 -0.02435303 ... -0.03192139 -0.04403687
 -0.00624466]",2,"['견적', '비교', '최종', '온라인', '구매']",견적 비교 최종 온라인 구매,0
474,품목이 적으시면 온라인 많다면 오프라인이요,"[ 0.00107288  0.0075531  -0.02919006 ... -0.04415894 -0.02319336
 -0.00020397]",2,"['품목', '적다', '온라인', '많다', '오프라인']",품목 적다 온라인 많다 오프라인,0
475,저도 고민이긴한데 가격 차이가 많이나서 온라인이랑 오프라인 둘 다 비교해봐야 할 것 같아요ㅠㅠ,"[-0.00470352  0.01750183 -0.02520752 ... -0.03634644 -0.02479553
  0.00189209]",2,"['고민', '가격', '차이', '온라인', '오프라인', '비교']",고민 가격 차이 온라인 오프라인 비교,0
476,온라인 오프라인 가격 비교 해보고 더 저렴한 데서 구매하려구요!,"[ 0.00052547  0.03411865 -0.02928162 ... -0.02438354 -0.03012085
 -0.0226593 ]",2,"['온라인', '오프라인', '가격', '비교', '저렴하다', '구매']",온라인 오프라인 가격 비교 저렴하다 구매,0
477,온라인 가격을 기준으로 비교해보고 오프라인 구매하려 합니다,"[ 0.01398468  0.02629089 -0.03277588 ... -0.01747131 -0.03601074
 -0.02462769]",2,"['온라인', '가격', '기준', '비교', '오프라인', '구매']",온라인 가격 기준 비교 오프라인 구매,0
478,온라인 오프라인 다 비교하고 오프라인에서 구매했어요,"[ 0.01544952  0.02026367 -0.02854919 ... -0.01461029 -0.04019165
 -0.02056885]",2,"['온라인', '오프라인', '비교', '오프라인', '구매']",온라인 오프라인 비교 오프라인 구매,0
479,저는 오프라인에서 한번에 다 구매했어요 ㅎㅎ 같은시간과 같은날에 한번에 쫘악들어와서 편하더라구요,"[ 0.00140572  0.0150528  -0.02204895 ... -0.02067566 -0.02912903
  0.00188732]",2,"['오프라인', '구매', '시간', '들어오다', '편하다']",오프라인 구매 시간 들어오다 편하다,1
480,저희는 오프라인 여러군데서 견적받고 결국 온라인에서 더 저렴한 모델로 구입했어요!,"[-0.00608826  0.0413208  -0.03179932 ... -0.01773071 -0.04205322
 -0.01573181]",2,"['오프라인', '견적', '온라인', '저렴하다', '모델', '구입']",오프라인 견적 온라인 저렴하다 모델 구입,1
481,저는 오프라인으로 발품 팔아서 오픈매장 찾아서 했어요 !,"[-0.00202751  0.0166626  -0.01690674 ... -0.02258301 -0.04690552
 -0.02653503]",2,"['오프라인', '발품', '팔다', '오픈', '매장', '찾다']",오프라인 발품 팔다 오픈 매장 찾다,0
482,오프라인으로 일단 상담받아보고 생각해보려구영,"[-0.00489807  0.02552795 -0.01062775 ... -0.03887939  0.00278473
 -0.01157379]",2,"['오프라인', '상담', '생각']",오프라인 상담 생각,0
483,오프라인에 저렴하게 이벤트 하는 곳 찾아서 하려구요,"[ 0.00057316  0.020401   -0.01942444 ... -0.02839661 -0.02716064
 -0.02587891]",2,"['오프라인', '저렴하다', '이벤트', '찾다']",오프라인 저렴하다 이벤트 찾다,1
484,저는 온라인 할인 받을 수 있어서 온라인으로 했어용,"[ 0.01159668  0.02760315 -0.02474976 ... -0.02572632 -0.03019714
 -0.01527405]",2,"['온라인', '할인', '온라인']",온라인 할인 온라인,1
485,오프라인에서 오픈매장 같은곳 가시면 혜택 엄청 받을 수있어요,"[ 0.02012634  0.02859497 -0.02734375 ... -0.02961731 -0.03475952
 -0.01663208]",2,"['오프라인', '오픈', '매장', '혜택']",오프라인 오픈 매장 혜택,2
486,오프라인으로 알아보고 가격차이가 나면 구매는 온라인으로 하는 게 좋을 것 같아요 ㅎㅎ,"[-0.002388    0.02632141 -0.02697754 ... -0.03265381 -0.02737427
 -0.00883484]",2,"['오프라인', '알아보다', '가격', '차이', '구매', '온라인', '좋다']",오프라인 알아보다 가격 차이 구매 온라인 좋다,0
487,오프라인으로 스팩 비교하고 온라인에서 제일 싼거 샀어요 ㅎㅎ,"[-0.00032449  0.03405762 -0.02601624 ... -0.01998901 -0.03274536
 -0.00458527]",2,"['오프라인', '스팩', '비교', '온라인', '싸다', '사다']",오프라인 스팩 비교 온라인 싸다 사다,1
488,오프라인도 견적받아봤는데 온라인견적이괜찮아서 온라인에서 구매했어요,"[-0.00327492  0.02912903 -0.03482056 ... -0.02067566 -0.04257202
 -0.01464081]",2,"['오프라인', '견적', '온라인', '견적', '괜찮다', '온라인', '구매']",오프라인 견적 온라인 견적 괜찮다 온라인 구매,0
489,저희는 최대한 발품팔면서 오프라인으로 알아보려구요!,"[-0.00648499  0.04205322 -0.01056671 ... -0.02804565 -0.04443359
 -0.01524353]",2,"['발품', '팔다', '오프라인', '알아보다']",발품 팔다 오프라인 알아보다,0
490,오프라인 그랜드오픈으로 알아보려고 해용,"[ 0.00688171  0.02468872 -0.01731873 ... -0.02053833 -0.02212524
 -0.0151062 ]",2,"['오프라인', '그랜드', '오픈']",오프라인 그랜드 오픈,2
491,오프라인으로 큰것만 사고 자잘한건 온라인으로 발품팔아서 살 예정입니다!,"[-0.01332092  0.03713989 -0.02464294 ... -0.01026154 -0.03979492
 -0.01353455]",2,"['오프라인', '크다', '사다', '자잘하다', '온라인', '발품', '팔다', '살다', '예정']",오프라인 크다 사다 자잘하다 온라인 발품 팔다 살다 예정,1
492,낱개로 살거면 온라인이 싸고 한꺼번에 여러개 묶어서 살거면 오프라인이 좋은거같아요,"[ 0.00772476  0.01776123 -0.03753662 ... -0.03170776 -0.03912354
  0.01506042]",2,"['낱개', '사다', '온라인', '싸다', '묶다', '살다', '오프라인', '좋다']",낱개 사다 온라인 싸다 묶다 살다 오프라인 좋다,1
493,온라인이 싸다고 해서 온라인도 알아보고 오프라인도 알아보려구용,"[-0.00381279  0.02857971 -0.02560425 ... -0.02478027 -0.0063858
 -0.01316833]",2,"['온라인', '싸다', '온라인', '알아보다', '오프라인']",온라인 싸다 온라인 알아보다 오프라인,1
494,저희는 가격 알아보고 오프라인으로 구매했어요!,"[ 0.01103973  0.03677368 -0.02738953 ... -0.01330566 -0.04296875
 -0.02096558]",2,"['가격', '알아보다', '오프라인', '구매']",가격 알아보다 오프라인 구매,0
495,저는 집이 작아서 온라인으로 하나씩 주문해보려구요,"[-0.00430679  0.05157471 -0.00955963 ... -0.03530884 -0.05026245
 -0.00093031]",2,"['작다', '온라인', '주문']",작다 온라인 주문,1
496,"진짜 직접 발품팔아서, 온라인으로 구매해도 될듯해요 !","[-0.00260544  0.03649902 -0.01509857 ... -0.03475952 -0.04232788
  0.00110245]",2,"['발품', '팔다', '온라인', '구매']",발품 팔다 온라인 구매,0
497,오프라인으로 직접 보고 만져보고 한번에 벌크바이할래요!,"[-0.00635529  0.03762817 -0.00660324 ... -0.03216553 -0.0295105
 -0.00563431]",2,"['오프라인', '만지다', '벌크', '바이']",오프라인 만지다 벌크 바이,0
498,"사려는 구성이 많으면 오프라인, 많지않으면 온라인이 괜찮을 것같아요","[ 0.00204277  0.00435638 -0.02703857 ... -0.03034973 -0.01464081
 -0.00734329]",2,"['사다', '구성', '많다', '오프라인', '많다', '온라인', '괜찮다']",사다 구성 많다 오프라인 많다 온라인 괜찮다,1
499,"1,2개정도면 오프라인, 4개 이상이면 백화점이 이득이래욤~","[ 0.00920105  0.01425934 -0.03405762 ... -0.03744507 -0.02970886
  0.01846313]",2,"['오프라인', '이상', '백화점', '이득']",오프라인 이상 백화점 이득,1
500,저는 한 곳에서 계약해서 오프라인 혜택 많이 받앗어요!,"[ 0.00805664  0.03283691 -0.02983093 ... -0.01634216 -0.04571533
 -0.0171814 ]",2,"['계약', '오프라인', '혜택']",계약 오프라인 혜택,0
501,그정도면 오프라인에서 혜택 충분히 받으실거에요,"[ 0.0127182   0.02961731 -0.02305603 ... -0.01802063 -0.02442932
 -0.00174332]",2,"['오프라인', '혜택']",오프라인 혜택,0
502,저는 온라인 최저가랑 매장 견적가 비교해보고 사려구용,"[ 0.01354218  0.0216217  -0.02711487 ... -0.03231812 -0.04046631
 -0.00249863]",2,"['온라인', '최저', '매장', '견적', '비교', '사다']",온라인 최저 매장 견적 비교 사다,0
503,오프라인에서 상담받고 계약하려구용,"[ 0.00114536  0.03326416 -0.01521301 ... -0.03353882 -0.00966644
 -0.01221466]",2,"['오프라인', '상담', '계약']",오프라인 상담 계약,0
504,오프라인 여러군데 다닌다음에 가장 저렴한곳에서 했어요 ㅎㅎ,"[ 0.00450134  0.02330017 -0.01869202 ... -0.02424622 -0.02084351
 -0.01034546]",2,"['오프라인', '다니다', '다음', '저렴하다']",오프라인 다니다 다음 저렴하다,0
505,오프라인에서 견적 받아서 진행하려구요,"[-0.00011796  0.03829956 -0.0239563  ... -0.03295898 -0.02807617
 -0.00536728]",2,"['오프라인', '견적', '진행']",오프라인 견적 진행,0
506,"온라인 오프라인 다 비교해보고, 오프라인이 더 나을 것 같아서 오프라인으로 햇어요","[ 0.0135498   0.01707458 -0.02226257 ... -0.03167725 -0.01852417
 -0.0135498 ]",2,"['온라인', '오프라인', '비교', '오프라인', '오프라인']",온라인 오프라인 비교 오프라인 오프라인,0
507,오프라인으로 발품 팔아서 비교 할 거에용!,"[-0.00632095  0.02861023 -0.01589966 ... -0.03155518 -0.04562378
 -0.01465607]",2,"['오프라인', '발품', '팔다', '비교']",오프라인 발품 팔다 비교,0
508,오프라인이 혜택 더 좋을거같아서 오프라인으로 하려구요!,"[ 0.00349426  0.02783203 -0.0324707  ... -0.02737427 -0.02845764
 -0.00955963]",2,"['오프라인', '혜택', '좋다', '오프라인']",오프라인 혜택 좋다 오프라인,0
